datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2020-01-01,150.61837070553122,205.88623051533577,0.7684279091430435,0.000356366291992126,3.926386167921663e-06,1.1521163121315121e-05,-1.619356067821879e-07,4.9572970355595555e-20,-5.2543043019030825e-09,1.0739569441798338e-05,1.1779158503809997e-07,3.472111849300243e-07,0.25881904510252074,0.03017851079036741,0.9564667595334451,2020
2020-01-07,214.927049091369,213.5542006253017,1.0655980146580104,-0.00024010728542914157,3.3163964862221813e-06,-7.896373664671942e-06,3.0376746507032045e-07,2.6618137168805797e-20,9.78566204282858e-09,-7.294348802395374e-06,9.949189458633652e-08,-2.398269085530072e-07,0.25881904510252074,0.08175746255970738,0.9555346847978702,2020
2020-01-13,224.7845774751086,221.92909522117412,1.0925459991707582,0.0003624587458745873,-8.75587348917652e-06,1.2201640696716567e-05,-4.1070773744019746e-07,-6.6793533178424914e-21,-1.3314543589445227e-08,1.0996974697469743e-05,-2.626762046756201e-07,3.7004358397833155e-07,0.25881904510252074,0.12452046970693739,0.954154344000227,2020
2020-01-19,145.01586136186603,233.4617717767718,0.6466773420292431,-0.0005090195668096683,2.084812831550038e-07,-1.6761630298332676e-05,3.4529664120634456e-08,1.96034462075437e-20,1.1410394575478385e-09,-1.5280945903526275e-05,6.254438494977325e-09,-5.031912207872429e-07,0.25881904510252074,0.19482876616295797,0.9531923281096057,2020
2020-01-25,125.55846801825564,248.09060713202248,0.528892042359321,-4.779960933011644e-05,-1.4595092387536226e-06,-1.5536659208492654e-06,4.366310467660773e-08,6.75710971338777e-20,1.4181409466208064e-09,-1.4470872113062814e-06,-4.3785277162273537e-08,-4.703541990946451e-08,0.25881904510252074,0.23459439640536722,0.949436399637156,2020
2020-01-31,156.77818551885218,263.28225480275296,0.6641933355584548,0.00039384384384384403,6.073536088605375e-07,1.3011094471634974e-05,-1.5459904348801932e-07,-2.951981891051624e-20,-5.1028001946845625e-09,1.1861695028362033e-05,1.8220608265370835e-08,3.918636742074534e-07,0.46040673012694033,0.28446474897457286,0.9467499573365957,2020
2020-02-06,236.23632541451954,280.09229644501414,0.88338734020194,-0.0002288641497257182,8.572730440851159e-07,-7.602767376537254e-06,3.700118317735007e-07,5.1871907746751894e-20,1.220370308547053e-08,-6.976928041303668e-06,2.5718191322684517e-08,-2.3174413222175936e-07,0.5,0.33357021099712186,0.9432287551075483,2020
2020-02-12,219.93026042640898,298.41452845540675,0.8071436370781632,-0.000149735009872181,3.2558413156778333e-06,-4.962707809995177e-06,-1.7146420035294292e-07,-7.228765601857005e-20,-5.6261762176315865e-09,-4.440611036059486e-06,9.767523947034673e-08,-1.4719338143456403e-07,0.5,0.3817839523479773,0.939374810293642,2020
2020-02-18,313.7696037492421,320.2748380825923,1.039976506359918,0.00021817361215585877,-3.1742199886525594e-06,7.213700722751974e-06,-1.1634321247668292e-07,3.3057264975236282e-21,-3.8382804193296635e-09,6.580111328418541e-06,-9.522659965948996e-08,2.1756250580835708e-07,0.5,0.42896545396108043,0.9355756522185668,2020
2020-02-24,212.85694768073785,342.246487574052,0.698910027352322,-0.0002350404182196649,3.0001216352934094e-06,-7.750312722452133e-06,8.180454039455211e-08,7.960297474350226e-20,2.7217059013168654e-09,-7.075753908707562e-06,9.000364905782709e-08,-2.3332589344395722e-07,0.5,0.47502959222949204,0.931186857337849,2020
2020-03-01,258.1975982473301,364.0199572968216,0.6981279673577973,0.00010979323833472989,1.4976864434394062e-07,3.5343028456696077e-06,-1.2759616280140916e-07,-5.8163402379775595e-21,-4.10699400342535e-09,3.3320759988821202e-06,4.493059329521794e-09,1.0726118357111525e-07,0.7071067811865476,0.5198119552265706,0.9259617148501029,2020
2020-03-07,237.71271651318082,386.732506012291,0.6842891738023671,9.413092550790499e-06,-2.5400145390781732e-06,3.886834445931161e-07,9.435665914245019e-08,7.50277692995838e-20,2.994508093203302e-09,2.54085778780951e-07,-7.620043617192314e-08,1.0762150909834374e-08,0.7071067811865476,0.5632153769475807,0.9215065833760072,2020
2020-03-13,389.34754634748725,407.49073437884164,1.0134674844668001,0.00016783577200261916,3.154446289427596e-06,5.2708299105181824e-06,-1.4326272111849636e-07,4.485504685644332e-20,-4.5353706197062195e-09,5.078051976413412e-06,9.463338868311079e-08,1.5948550850145784e-07,0.7071067811865476,0.6051039613055592,0.9163977466353175,2020
2020-03-19,356.9294568392579,429.6662299554748,0.8834492022101507,-3.110599078338922e-06,7.2548166185846e-07,-1.511902438846266e-07,4.864311315938362e-08,5.773529233921785e-21,1.5861861328947903e-09,-1.079109062977283e-07,2.176444985619862e-08,-5.011563156404879e-09,0.7071067811865476,0.6454306695448614,0.9127483667036367,2020
2020-03-25,382.9438450880127,445.6294587871195,0.8808496526909791,-0.00022256935868938756,-9.392804541688786e-07,-7.076407820628224e-06,1.4448011854766311e-07,-6.869202205852015e-20,4.60081527937703e-09,-6.720424796245934e-06,-2.8178413624096743e-08,-2.1367247920266026e-07,0.7071067811865476,0.6839205797698428,0.906410927014669,2020
